"","E","N","group","country","long","lat"
"11098",4561,4934,21,40,15.5576467730852,67.4375665293062
"11099",4565,4943,21,40,15.6686493102246,67.5157755819183
"11100",4564,4945,21,40,15.6497077767962,67.5345467632991
"11101",4557,4942,21,40,15.4816009445113,67.5125881099605
"11102",4551,4945,21,40,15.3487711012379,67.5438916686103
"11103",4546,4951,21,40,15.2446343560129,67.601478432854
"11104",4544,4956,21,40,15.207882414943,67.6479555481209
"11105",4546,4962,21,40,15.2661726757365,67.7007197886067
"11106",4549,4965,21,40,15.3420805496368,67.7257039362664
"11107",4547,4969,21,40,15.3033504781719,67.763184948082
"11108",4536,4959,21,40,15.0273824626091,67.6803818943774
"11109",4528,4956,21,40,14.8355632388309,67.6584652294538
"11110",4525,4957,21,40,14.7674969665762,67.6693768258168
"11111",4526,4966,21,40,14.8069291494467,67.7500008489433
"11112",4525,4972,21,40,14.7943360610675,67.8047991828286
"11113",4534,4989,21,40,15.0372518610953,67.9524835248291
"11114",4537,4991,21,40,15.1117940819579,67.9685437215292
"11115",4543,4990,21,40,15.2512269257385,67.9554460289381
"11116",4549,4986,21,40,15.3844020139867,67.9151719158191
"11117",4554,4987,21,40,15.5040344407804,67.9206299325141
"11118",4558,4990,21,40,15.6044382358427,67.944783909025
"11119",4557,4994,21,40,15.5893556754379,67.9815999585312
"11120",4547,4995,21,40,15.3555781359913,67.997790227836
"11121",4543,4999,21,40,15.2691765531327,68.0366732262828
"11122",4544,5002,21,40,15.2988531739784,68.0630573887655
"11123",4551,5006,21,40,15.4727851428106,68.0942155837581
"11124",4558,5014,21,40,15.6558127707065,68.1612936496588
"11125",4565,5016,21,40,15.8264856215188,68.1740682115994
"11126",4571,5022,21,40,15.9827405478822,68.2235390090841
"11127",4573,5021,21,40,16.0280329019368,68.2129466821337
"11128",4574,5019,21,40,16.047188548073,68.1941206564135
"11129",4578,5000,21,40,16.097942474386,68.0196362788932
"11130",4586,4985,21,40,16.2511173401089,67.8779753631523
"11131",4588,4985,21,40,16.2980193794921,67.8763330365382
"11132",4584,4998,21,40,16.2347631983626,67.9967640054032
"11133",4586,5002,21,40,16.2914381521605,68.0311729488535
